16-April-23 13:05:24 - INFO:  set_to:0.0005704332143068314
16-April-23 13:05:24 - INFO:  set_to:0.0006996635347604752
16-April-23 13:05:25 - INFO:  set_to:0.0005892049521207809
16-April-23 13:05:25 - INFO:  set_to:0.0005684802308678627
16-April-23 13:05:25 - INFO:  set_to:0.0005314145237207413
16-April-23 13:05:25 - INFO:  set_to:0.0005736974999308586
16-April-23 13:05:25 - INFO:  set_to:0.000568317249417305
16-April-23 13:05:25 - INFO:  set_to:0.00046733859926462173
16-April-23 13:05:25 - INFO:  set_to:0.0005006492137908936
16-April-23 13:05:25 - INFO:  set_to:0.0005441624671220779
16-April-23 13:05:25 - INFO:  set_to:0.0005439966917037964
16-April-23 13:05:25 - INFO:  set_to:0.000488966703414917
16-April-23 13:05:25 - INFO:  set_to:0.0006775986403226852
16-April-23 13:05:26 - INFO:  set_to:0.0004286840558052063
16-April-23 13:05:26 - INFO:  set_to:0.0004886025562882423
16-April-23 13:05:26 - INFO:  set_to:0.0005793562158942223
16-April-23 13:05:26 - INFO:  set_to:0.0005828617140650749
16-April-23 13:05:26 - INFO:  set_to:0.0005486300215125084
16-April-23 13:05:26 - INFO:  set_to:0.0005747601389884949
16-April-23 13:05:27 - INFO:  set_to:0.0006664292886853218
16-April-23 13:05:27 - INFO:  set_to:0.000590180978178978
16-April-23 13:05:27 - INFO:  set_to:0.0006110984832048416
16-April-23 13:05:27 - INFO:  set_to:0.0004974883049726486
16-April-23 13:05:27 - INFO:  set_to:0.0005467180162668228
16-April-23 13:05:27 - INFO:  set_to:0.0005434760823845863
16-April-23 13:05:28 - INFO:  set_to:0.0004771864041686058
16-April-23 13:05:28 - INFO:  set_to:0.0005691265687346458
16-April-23 13:05:28 - INFO:  set_to:0.0005836617201566696
16-April-23 13:05:28 - INFO:  set_to:0.0005683014169335365
16-April-23 13:05:28 - INFO:  set_to:0.0005060415714979172
16-April-23 13:05:29 - INFO:  set_to:0.0005002710968255997
16-April-23 13:05:29 - INFO:  set_to:0.0004891958087682724
16-April-23 13:05:29 - INFO:  set_to:0.0005794921889901161
16-April-23 13:05:29 - INFO:  set_to:0.0005007339641451836
16-April-23 13:05:29 - INFO:  set_to:0.0005626576021313667
16-April-23 13:05:29 - INFO:  set_to:0.0005108974874019623
16-April-23 13:05:29 - INFO:  set_to:0.0005819797515869141
16-April-23 13:05:30 - INFO:  set_to:0.0005517341196537018
16-April-23 13:05:30 - INFO:  set_to:0.0005287704989314079
16-April-23 13:05:30 - INFO:  set_to:0.0005452362820506096
16-April-23 13:05:30 - INFO:  set_to:0.0005438197404146194
16-April-23 13:05:30 - INFO:  set_to:0.000531299039721489
16-April-23 13:05:30 - INFO:  set_to:0.0005034841597080231
16-April-23 13:05:30 - INFO:  set_to:0.0005112495273351669
16-April-23 13:05:31 - INFO:  set_to:0.0006064092740416527
16-April-23 13:05:31 - INFO:  set_to:0.0005867555737495422
16-April-23 13:05:31 - INFO:  set_to:0.0005299840122461319
16-April-23 13:05:31 - INFO:  set_to:0.0005318829789757729
16-April-23 13:05:31 - INFO:  set_to:0.0005419105291366577
16-April-23 13:05:31 - INFO:  set_to:0.0005283746868371964
16-April-23 13:05:31 - INFO:  set_to:0.0005864286795258522
16-April-23 13:05:31 - INFO:  set_to:0.0005371393635869026
16-April-23 13:05:31 - INFO:  set_to:0.0005914680659770966
16-April-23 13:05:31 - INFO:  set_to:0.0005858568474650383
16-April-23 13:05:31 - INFO:  set_to:0.0005946364253759384
16-April-23 13:05:31 - INFO:  set_to:0.0004660077393054962
16-April-23 13:05:31 - INFO:  set_to:0.00065644271671772
16-April-23 13:05:31 - INFO:  set_to:0.0005003437399864197
16-April-23 13:05:31 - INFO:  set_to:0.0004720296710729599
16-April-23 13:05:31 - INFO:  set_to:0.0005768369883298874
16-April-23 13:05:31 - INFO:  set_to:0.0005683507770299911
16-April-23 13:05:31 - INFO:  set_to:0.0006322283297777176
16-April-23 13:05:32 - INFO:  set_to:0.0004954030737280846
16-April-23 13:05:32 - INFO:  set_to:0.0005828319117426872
16-April-23 13:05:32 - INFO:  set_to:0.0005142400041222572
16-April-23 13:05:32 - INFO:  set_to:0.0005189524963498116
16-April-23 13:05:32 - INFO:  set_to:0.000583321787416935
16-April-23 13:05:33 - INFO:  set_to:0.0005362089723348618
16-April-23 13:05:33 - INFO:  set_to:0.0005133021622896194
16-April-23 13:05:33 - INFO:  set_to:0.0005827480927109718
16-April-23 13:05:33 - INFO:  set_to:0.0004947986453771591
16-April-23 13:05:34 - INFO:  set_to:0.0004972750321030617
16-April-23 13:05:34 - INFO:  set_to:0.000586765818297863
16-April-23 13:05:35 - INFO:  set_to:0.00046812836080789566
16-April-23 13:05:35 - INFO:  set_to:0.0005178786814212799
16-April-23 13:05:35 - INFO:  set_to:0.0005583474412560463
16-April-23 13:05:35 - INFO:  set_to:0.0005182474851608276
16-April-23 13:05:35 - INFO:  set_to:0.0005429591983556747
16-April-23 13:05:35 - INFO:  set_to:0.0005597034469246864
16-April-23 13:05:35 - INFO:  set_to:0.0005742032080888748
16-April-23 13:05:36 - INFO:  set_to:0.0006051613017916679
16-April-23 13:05:36 - INFO:  set_to:0.0005879933014512062
16-April-23 13:05:36 - INFO:  set_to:0.0006790626794099808
16-April-23 13:05:36 - INFO:  set_to:0.0005369344726204872
16-April-23 13:05:36 - INFO:  set_to:0.0005100304260849953
16-April-23 13:05:36 - INFO:  set_to:0.0005216002464294434
16-April-23 13:05:36 - INFO:  set_to:0.0005353651940822601
16-April-23 13:05:36 - INFO:  set_to:0.0006060311570763588
16-April-23 13:05:37 - INFO:  set_to:0.0004722466692328453
16-April-23 13:05:37 - INFO:  set_to:0.0004910212010145187
