09-April-23 21:06:42 - INFO:  del_multiple:0.0059006791561841965
09-April-23 21:06:42 - INFO:  del_multiple:0.0058274585753679276
09-April-23 21:06:42 - INFO:  del_multiple:0.00580171775072813
09-April-23 21:06:42 - INFO:  del_multiple:0.0058510927483439445
09-April-23 21:06:42 - INFO:  del_multiple:0.005829683504998684
09-April-23 21:06:43 - INFO:  del_multiple:0.005864347331225872
09-April-23 21:06:43 - INFO:  del_multiple:0.005929289385676384
09-April-23 21:06:43 - INFO:  del_multiple:0.00601457804441452
09-April-23 21:06:43 - INFO:  del_multiple:0.005864088423550129
09-April-23 21:06:43 - INFO:  del_multiple:0.0055989911779761314
09-April-23 21:06:43 - INFO:  del_multiple:0.005635919980704784
09-April-23 21:06:44 - INFO:  del_multiple:0.0058254823088645935
09-April-23 21:06:44 - INFO:  del_multiple:0.005934612825512886
09-April-23 21:06:44 - INFO:  del_multiple:0.005911261774599552
09-April-23 21:06:45 - INFO:  del_multiple:0.005680270493030548
09-April-23 21:06:45 - INFO:  del_multiple:0.005920042283833027
09-April-23 21:06:45 - INFO:  del_multiple:0.005850686691701412
09-April-23 21:06:46 - INFO:  del_multiple:0.00592341274023056
09-April-23 21:06:46 - INFO:  del_multiple:0.005878165364265442
09-April-23 21:06:46 - INFO:  del_multiple:0.005911699496209621
09-April-23 21:06:46 - INFO:  del_multiple:0.005852177739143372
09-April-23 21:06:46 - INFO:  del_multiple:0.00593560840934515
09-April-23 21:06:46 - INFO:  del_multiple:0.005666548386216164
09-April-23 21:06:46 - INFO:  del_multiple:0.005754575133323669
09-April-23 21:06:46 - INFO:  del_multiple:0.005939356982707977
09-April-23 21:06:47 - INFO:  del_multiple:0.005920461378991604
09-April-23 21:06:47 - INFO:  del_multiple:0.005923116579651833
09-April-23 21:06:47 - INFO:  del_multiple:0.00591640267521143
09-April-23 21:06:47 - INFO:  del_multiple:0.0058787111192941666
09-April-23 21:06:47 - INFO:  del_multiple:0.005937105044722557
09-April-23 21:06:47 - INFO:  del_multiple:0.0056679267436265945
09-April-23 21:06:47 - INFO:  del_multiple:0.005872427485883236
09-April-23 21:06:47 - INFO:  del_multiple:0.0057150982320308685
09-April-23 21:06:47 - INFO:  del_multiple:0.005902571603655815
09-April-23 21:06:48 - INFO:  del_multiple:0.005951207131147385
09-April-23 21:06:48 - INFO:  del_multiple:0.005932869389653206
09-April-23 21:06:48 - INFO:  del_multiple:0.006024299189448357
09-April-23 21:06:48 - INFO:  del_multiple:0.00591721385717392
09-April-23 21:06:48 - INFO:  del_multiple:0.005882058292627335
09-April-23 21:06:48 - INFO:  del_multiple:0.005892962217330933
09-April-23 21:06:48 - INFO:  del_multiple:0.005999120883643627
09-April-23 21:06:48 - INFO:  del_multiple:0.00603449996560812
09-April-23 21:06:48 - INFO:  del_multiple:0.005983917973935604
09-April-23 21:06:49 - INFO:  del_multiple:0.006027397699654102
09-April-23 21:06:49 - INFO:  del_multiple:0.005955700762569904
09-April-23 21:06:49 - INFO:  del_multiple:0.00537404790520668
09-April-23 21:06:49 - INFO:  del_multiple:0.0059454310685396194
09-April-23 21:06:49 - INFO:  del_multiple:0.005804800428450108
09-April-23 21:06:49 - INFO:  del_multiple:0.006003296934068203
09-April-23 21:06:49 - INFO:  del_multiple:0.0059967804700136185
09-April-23 21:06:49 - INFO:  del_multiple:0.005704115144908428
09-April-23 21:06:49 - INFO:  del_multiple:0.005725543946027756
09-April-23 21:06:49 - INFO:  del_multiple:0.005855320021510124
09-April-23 21:06:49 - INFO:  del_multiple:0.005885631777346134
09-April-23 21:06:50 - INFO:  del_multiple:0.006035252474248409
09-April-23 21:06:50 - INFO:  del_multiple:0.0056560346856713295
09-April-23 21:06:50 - INFO:  del_multiple:0.006005801260471344
09-April-23 21:06:50 - INFO:  del_multiple:0.00597390066832304
09-April-23 21:06:50 - INFO:  del_multiple:0.005951565690338612
09-April-23 21:06:50 - INFO:  del_multiple:0.006051104515790939
09-April-23 21:06:51 - INFO:  del_multiple:0.005926833488047123
09-April-23 21:06:51 - INFO:  del_multiple:0.005812057293951511
09-April-23 21:06:51 - INFO:  del_multiple:0.005932440981268883
09-April-23 21:06:51 - INFO:  del_multiple:0.005974504165351391
