16-April-23 13:22:38 - INFO:  get_range:0.003484816290438175
16-April-23 13:22:39 - INFO:  get_range:0.003706999123096466
16-April-23 13:22:39 - INFO:  get_range:0.003552674315869808
16-April-23 13:22:39 - INFO:  get_range:0.003469184972345829
16-April-23 13:22:39 - INFO:  get_range:0.003686109557747841
16-April-23 13:22:39 - INFO:  get_range:0.0031947186216712
16-April-23 13:22:39 - INFO:  get_range:0.0037282779812812805
16-April-23 13:22:39 - INFO:  get_range:0.003825969062745571
16-April-23 13:22:39 - INFO:  get_range:0.00377708300948143
16-April-23 13:22:39 - INFO:  get_range:0.003488238900899887
16-April-23 13:22:39 - INFO:  get_range:0.003346215933561325
16-April-23 13:22:40 - INFO:  get_range:0.003140137530863285
16-April-23 13:22:40 - INFO:  get_range:0.0035568522289395332
16-April-23 13:22:40 - INFO:  get_range:0.0033081630244851112
16-April-23 13:22:40 - INFO:  get_range:0.0038189999759197235
16-April-23 13:22:41 - INFO:  get_range:0.0036609359085559845
16-April-23 13:22:41 - INFO:  get_range:0.0031790900975465775
16-April-23 13:22:41 - INFO:  get_range:0.0036905258893966675
16-April-23 13:22:41 - INFO:  get_range:0.0038797399029135704
16-April-23 13:22:41 - INFO:  get_range:0.003827975131571293
16-April-23 13:22:42 - INFO:  get_range:0.0037560006603598595
16-April-23 13:22:42 - INFO:  get_range:0.00383190531283617
16-April-23 13:22:42 - INFO:  get_range:0.0034728897735476494
16-April-23 13:22:42 - INFO:  get_range:0.0038701090961694717
16-April-23 13:22:42 - INFO:  get_range:0.003710768185555935
16-April-23 13:22:43 - INFO:  get_range:0.00392554234713316
16-April-23 13:22:43 - INFO:  get_range:0.0031637661159038544
16-April-23 13:22:43 - INFO:  get_range:0.0029022572562098503
16-April-23 13:22:43 - INFO:  get_range:0.003554297611117363
16-April-23 13:22:43 - INFO:  get_range:0.0031464453786611557
16-April-23 13:22:43 - INFO:  get_range:0.003026057966053486
16-April-23 13:22:43 - INFO:  get_range:0.003783987835049629
16-April-23 13:22:44 - INFO:  get_range:0.0039028702303767204
16-April-23 13:22:44 - INFO:  get_range:0.003877757117152214
16-April-23 13:22:44 - INFO:  get_range:0.0030276579782366753
16-April-23 13:22:44 - INFO:  get_range:0.0038787322118878365
16-April-23 13:22:44 - INFO:  get_range:0.0038651153445243835
16-April-23 13:22:45 - INFO:  get_range:0.0035415533930063248
16-April-23 13:22:45 - INFO:  get_range:0.003455003723502159
16-April-23 13:22:45 - INFO:  get_range:0.003875087946653366
16-April-23 13:22:45 - INFO:  get_range:0.0032492605969309807
16-April-23 13:22:45 - INFO:  get_range:0.003878798335790634
16-April-23 13:22:45 - INFO:  get_range:0.0038787778466939926
16-April-23 13:22:45 - INFO:  get_range:0.0035318508744239807
16-April-23 13:22:45 - INFO:  get_range:0.003833566792309284
16-April-23 13:22:45 - INFO:  get_range:0.003550417721271515
16-April-23 13:22:45 - INFO:  get_range:0.0033861547708511353
16-April-23 13:22:45 - INFO:  get_range:0.003641250543296337
16-April-23 13:22:45 - INFO:  get_range:0.0038862712681293488
16-April-23 13:22:46 - INFO:  get_range:0.0035510994493961334
16-April-23 13:22:46 - INFO:  get_range:0.003396822139620781
16-April-23 13:22:46 - INFO:  get_range:0.003347341902554035
16-April-23 13:22:46 - INFO:  get_range:0.0029342444613575935
16-April-23 13:22:46 - INFO:  get_range:0.0026496732607483864
